wilayah,tahun,gini_ratio,tingkat_penganggur_terbuka,rata_rata_inflasi_tahunan,indeks_pembangunan_manusia,persentase_kemiskinan,priority_level
Kabupaten Karawang,2014,388.01,5.02,6.75,69.42,8.82,Medium Priority
Kabupaten Karawang,2015,381.26,4.88,3.92,70.12,8.57,Medium Priority
Kabupaten Karawang,2016,389.32,4.99,2.61,69.85,9.04,High Priority
Kabupaten Karawang,2017,388.09,5.19,3.9,70.61,8.56,Medium Priority
Kabupaten Karawang,2018,384.94,4.56,3.07,70.62,8.59,Medium Priority
Kabupaten Karawang,2019,385.31,4.68,2.65,71.45,8.44,Medium Priority
Kabupaten Karawang,2020,392.37,5.55,2.06,71.24,9.12,High Priority
Kabupaten Karawang,2021,385.0,5.09,2.11,71.7,8.91,Medium Priority
Kabupaten Karawang,2022,383.6,4.99,4.46,72.06,8.42,Medium Priority
Kabupaten Karawang,2023,364.19,4.59,3.18,72.31,7.4,Low Priority
Kabupaten Karawang,2024,380.13,4.56,2.04,72.35,7.99,Low Priority
Kabupaten Karawang,2025,387.86,4.27,2.2,73.37,8.11,Low Priority
Kabupaten Bekasi,2014,379.38,6.24,6.24,69.58,10.13,High Priority
Kabupaten Bekasi,2015,379.02,6.46,3.95,69.93,10.1,High Priority
Kabupaten Bekasi,2016,383.98,6.21,2.66,70.04,9.75,High Priority
Kabupaten Bekasi,2017,369.7,6.53,3.65,70.7,10.03,High Priority
Kabupaten Bekasi,2018,369.23,6.52,3.27,71.03,9.75,High Priority
Kabupaten Bekasi,2019,382.55,6.52,3.09,71.18,9.97,High Priority
Kabupaten Bekasi,2020,382.29,7.11,1.73,71.46,10.22,High Priority
Kabupaten Bekasi,2021,373.71,6.95,1.81,72.01,10.05,High Priority
Kabupaten Bekasi,2022,376.4,6.44,4.12,72.27,9.62,High Priority
Kabupaten Bekasi,2023,377.97,5.78,2.99,72.73,8.88,Medium Priority
Kabupaten Bekasi,2024,369.92,5.78,2.24,72.75,9.1,High Priority
Kabupaten Bekasi,2025,370.13,6.06,2.29,73.46,9.32,High Priority
Kabupaten Bandung Barat,2014,335.22,6.11,6.44,70.85,8.01,Low Priority
Kabupaten Bandung Barat,2015,328.17,5.67,4.12,71.3,7.81,Low Priority
Kabupaten Bandung Barat,2016,322.31,5.91,2.96,71.71,8.0,Low Priority
Kabupaten Bandung Barat,2017,321.69,5.5,3.48,71.89,7.87,Low Priority
Kabupaten Bandung Barat,2018,318.67,5.74,3.16,72.0,7.77,Low Priority
Kabupaten Bandung Barat,2019,331.14,5.23,2.73,73.09,7.51,Low Priority
Kabupaten Bandung Barat,2020,326.31,6.4,2.02,72.78,8.02,Low Priority
Kabupaten Bandung Barat,2021,325.68,6.08,1.66,73.34,7.91,Low Priority
Kabupaten Bandung Barat,2022,320.7,5.6,3.95,73.85,7.28,Low Priority
Kabupaten Bandung Barat,2023,320.52,5.13,3.39,73.56,7.57,Low Priority
Kabupaten Bandung Barat,2024,319.5,5.66,2.27,74.12,7.27,Low Priority
Kabupaten Bandung Barat,2025,315.14,5.28,1.89,74.61,6.86,Low Priority
Kabupaten Pangandaran,2014,376.88,6.5,6.67,69.67,9.92,High Priority
Kabupaten Pangandaran,2015,385.27,6.64,4.15,69.94,9.82,High Priority
Kabupaten Pangandaran,2016,372.47,6.47,2.9,70.3,9.36,High Priority
Kabupaten Pangandaran,2017,381.06,6.61,3.93,70.34,9.65,High Priority
Kabupaten Pangandaran,2018,376.27,6.17,3.22,70.6,9.64,High Priority
Kabupaten Pangandaran,2019,369.72,6.27,2.8,71.11,9.26,High Priority
Kabupaten Pangandaran,2020,377.04,6.83,1.64,71.23,10.05,High Priority
Kabupaten Pangandaran,2021,366.37,6.78,1.7,71.71,9.5,High Priority
Kabupaten Pangandaran,2022,371.74,6.57,4.48,72.02,9.19,High Priority
Kabupaten Pangandaran,2023,370.28,5.94,3.48,72.56,8.44,Medium Priority
Kabupaten Pangandaran,2024,369.23,5.77,2.45,72.45,8.9,Medium Priority
Kabupaten Pangandaran,2025,373.21,6.1,2.24,73.15,9.08,High Priority
Kota Bogor,2014,390.21,7.14,6.09,75.43,8.23,Medium Priority
Kota Bogor,2015,393.83,6.65,3.68,75.69,8.17,Medium Priority
Kota Bogor,2016,398.21,7.11,2.67,76.65,8.15,Medium Priority
Kota Bogor,2017,394.18,6.58,3.58,76.03,8.06,Low Priority
Kota Bogor,2018,399.9,6.59,3.29,76.62,8.0,Low Priority
Kota Bogor,2019,400.13,6.29,2.7,77.32,7.71,Low Priority
Kota Bogor,2020,403.33,7.3,1.67,77.26,8.79,Medium Priority
Kota Bogor,2021,402.92,7.09,2.33,77.89,8.66,Medium Priority
Kota Bogor,2022,402.29,6.31,3.97,77.84,7.62,Low Priority
Kota Bogor,2023,392.06,6.38,2.96,78.38,7.46,Low Priority
Kota Bogor,2024,402.88,6.0,2.37,78.67,7.71,Low Priority
Kota Bogor,2025,386.8,6.12,1.62,79.06,7.3,Low Priority
Kota Sukabumi,2014,353.57,7.53,6.57,74.01,7.57,Low Priority
Kota Sukabumi,2015,347.53,7.34,4.02,74.48,7.67,Low Priority
Kota Sukabumi,2016,343.4,6.82,2.77,74.58,7.5,Low Priority
Kota Sukabumi,2017,351.07,7.05,3.74,74.87,7.79,Low Priority
Kota Sukabumi,2018,355.54,6.74,3.08,75.66,7.48,Low Priority
Kota Sukabumi,2019,336.98,6.83,2.66,75.74,6.86,Low Priority
Kota Sukabumi,2020,345.33,8.03,1.77,76.14,7.62,Low Priority
Kota Sukabumi,2021,348.02,7.79,2.28,76.13,7.55,Low Priority
Kota Sukabumi,2022,347.9,7.01,4.1,76.93,7.0,Low Priority
Kota Sukabumi,2023,344.93,6.51,3.24,77.06,6.82,Low Priority
Kota Sukabumi,2024,338.64,7.02,2.38,77.76,6.65,Low Priority
Kota Sukabumi,2025,347.52,6.46,2.28,77.77,6.74,Low Priority
Kota Bandung,2014,354.48,7.55,6.39,72.53,9.41,High Priority
Kota Bandung,2015,357.82,7.48,3.81,73.04,8.68,Medium Priority
Kota Bandung,2016,351.04,7.59,2.6,73.26,8.82,Medium Priority
Kota Bandung,2017,347.39,7.34,3.74,73.33,9.08,High Priority
Kota Bandung,2018,351.73,6.65,3.47,73.82,8.25,Medium Priority
Kota Bandung,2019,359.64,6.92,2.55,74.14,8.7,Medium Priority
Kota Bandung,2020,357.9,8.39,1.78,74.55,9.03,High Priority
Kota Bandung,2021,355.01,7.69,1.9,75.02,8.7,Medium Priority
Kota Bandung,2022,354.98,7.5,3.85,75.25,8.53,Medium Priority
Kota Bandung,2023,345.84,6.53,3.29,75.74,8.12,Low Priority
Kota Bandung,2024,352.46,7.41,2.44,76.01,8.76,Medium Priority
Kota Bandung,2025,351.15,6.69,2.3,76.21,8.14,Low Priority
Kota Cirebon,2014,383.96,5.82,6.52,80.64,6.63,Low Priority
Kota Cirebon,2015,386.45,6.27,3.82,80.86,6.85,Low Priority
Kota Cirebon,2016,381.13,5.67,2.95,81.03,6.5,Low Priority
Kota Cirebon,2017,383.81,5.58,3.35,81.65,6.92,Low Priority
Kota Cirebon,2018,373.25,5.86,3.38,82.08,6.66,Low Priority
Kota Cirebon,2019,381.54,5.56,2.82,81.79,6.53,Low Priority
Kota Cirebon,2020,389.15,6.65,1.07,82.41,6.99,Low Priority
Kota Cirebon,2021,382.39,5.79,2.17,82.65,6.55,Low Priority
Kota Cirebon,2022,374.26,5.38,4.53,83.2,6.11,Low Priority
Kota Cirebon,2023,384.63,4.88,3.23,83.6,5.9,Low Priority
Kota Cirebon,2024,380.13,4.94,2.23,83.97,5.88,Low Priority
Kota Cirebon,2025,376.59,5.09,2.26,84.07,6.12,Low Priority
Kota Bekasi,2014,386.93,8.61,6.21,76.85,8.79,Medium Priority
Kota Bekasi,2015,379.13,8.48,3.85,77.75,8.21,Medium Priority
Kota Bekasi,2016,378.8,8.54,2.55,77.96,8.37,Medium Priority
Kota Bekasi,2017,380.52,8.29,3.54,78.42,8.03,Low Priority
Kota Bekasi,2018,376.87,7.67,3.18,78.36,7.88,Low Priority
Kota Bekasi,2019,380.19,7.71,2.55,78.24,7.95,Low Priority
Kota Bekasi,2020,377.17,9.09,1.76,78.79,8.85,Medium Priority
Kota Bekasi,2021,373.82,8.6,1.83,79.77,8.2,Medium Priority
Kota Bekasi,2022,379.83,7.97,4.17,79.85,8.06,Low Priority
Kota Bekasi,2023,371.98,8.25,3.31,80.27,7.39,Low Priority
Kota Bekasi,2024,374.03,7.86,2.31,80.41,7.25,Low Priority
Kota Bekasi,2025,359.15,7.33,2.22,80.64,7.5,Low Priority
Kota Depok,2014,382.2,6.14,6.78,73.5,8.41,Medium Priority
Kota Depok,2015,384.71,6.47,4.07,73.5,8.3,Medium Priority
Kota Depok,2016,383.6,6.05,2.79,73.91,8.19,Medium Priority
Kota Depok,2017,375.5,6.18,3.52,74.05,8.11,Low Priority
Kota Depok,2018,383.32,5.99,2.94,74.47,8.07,Low Priority
Kota Depok,2019,380.31,6.56,2.65,74.6,8.23,Medium Priority
Kota Depok,2020,391.95,6.93,1.73,74.48,8.7,Medium Priority
Kota Depok,2021,370.87,7.11,1.53,75.4,8.41,Medium Priority
Kota Depok,2022,374.98,6.6,3.77,75.56,7.75,Low Priority
Kota Depok,2023,373.32,5.95,3.01,75.49,7.84,Low Priority
Kota Depok,2024,362.48,5.91,2.44,76.7,7.57,Low Priority
Kota Depok,2025,366.23,6.14,2.64,76.84,7.49,Low Priority
Kota Cimahi,2014,378.21,8.14,6.38,73.43,9.28,High Priority
Kota Cimahi,2015,371.91,7.43,4.02,73.77,8.89,Medium Priority
Kota Cimahi,2016,371.92,7.64,2.67,73.82,8.67,Medium Priority
Kota Cimahi,2017,377.58,7.58,3.78,74.37,8.86,Medium Priority
Kota Cimahi,2018,368.54,7.75,2.95,74.76,8.58,Medium Priority
Kota Cimahi,2019,372.33,7.36,2.86,75.04,8.27,Medium Priority
Kota Cimahi,2020,376.53,8.32,1.7,75.39,8.84,Medium Priority
Kota Cimahi,2021,378.87,8.32,1.41,75.45,9.04,High Priority
Kota Cimahi,2022,372.17,7.66,4.05,76.43,8.33,Medium Priority
Kota Cimahi,2023,371.84,6.85,2.88,76.19,7.98,Low Priority
Kota Cimahi,2024,365.15,7.03,2.14,76.58,8.11,Low Priority
Kota Cimahi,2025,366.12,7.41,2.55,77.32,7.98,Low Priority
Kota Tasikmalaya,2014,412.56,5.89,6.44,78.08,7.73,Low Priority
Kota Tasikmalaya,2015,407.65,5.56,3.89,78.4,7.64,Low Priority
Kota Tasikmalaya,2016,422.39,5.57,2.36,78.68,7.74,Low Priority
Kota Tasikmalaya,2017,406.95,5.53,3.77,79.0,7.79,Low Priority
Kota Tasikmalaya,2018,393.9,5.61,3.55,79.55,7.47,Low Priority
Kota Tasikmalaya,2019,400.36,4.97,2.73,80.09,7.1,Low Priority
Kota Tasikmalaya,2020,398.99,6.26,1.91,80.11,7.75,Low Priority
Kota Tasikmalaya,2021,409.23,5.56,1.37,80.35,7.62,Low Priority
Kota Tasikmalaya,2022,401.82,5.33,4.46,80.5,7.08,Low Priority
Kota Tasikmalaya,2023,406.48,4.92,3.22,81.06,6.76,Low Priority
Kota Tasikmalaya,2024,400.96,4.6,1.91,81.5,6.8,Low Priority
Kota Tasikmalaya,2025,392.42,5.54,2.18,81.92,7.18,Low Priority
Kota Banjar,2014,400.94,6.72,6.05,74.79,8.85,Medium Priority
Kota Banjar,2015,392.21,6.78,4.12,75.17,8.83,Medium Priority
Kota Banjar,2016,391.68,6.71,2.52,75.25,8.66,Medium Priority
Kota Banjar,2017,401.28,6.57,3.48,76.02,8.75,Medium Priority
Kota Banjar,2018,394.31,6.89,2.85,76.06,8.44,Medium Priority
Kota Banjar,2019,397.93,6.31,2.6,76.32,8.79,Medium Priority
Kota Banjar,2020,393.54,7.39,1.59,76.25,9.02,High Priority
Kota Banjar,2021,407.6,7.34,1.8,76.46,9.01,High Priority
Kota Banjar,2022,390.88,6.62,3.7,77.64,8.31,Medium Priority
Kota Banjar,2023,392.11,6.15,2.97,77.77,7.87,Low Priority
Kota Banjar,2024,395.62,6.01,1.99,78.27,7.81,Low Priority
Kota Banjar,2025,389.77,6.57,1.99,78.9,7.94,Low Priority
