nama_kabupaten_kota,tahun,gini_ratio,tingkat_penganggur_terbuka,rata_rata_inflasi_tahunan,indeks_pembangunan_manusia,persentase_penduduk_miskin
KABUPATEN KARAWANG,2018,0.407,7.98,18.575,66.57,7.45
KABUPATEN BEKASI,2018,0.407,7.98,18.575,78.49,7.45
KABUPATEN BEKASI,2018,0.407,7.98,18.575,69.29,7.45
KABUPATEN BANDUNG BARAT,2018,0.407,7.98,18.575,72.51,7.45
KABUPATEN BANDUNG BARAT,2018,0.407,7.98,18.575,57.41,7.45
KABUPATEN PANGANDARAN,2018,0.407,7.98,18.575,71.8,7.45
KABUPATEN PANGANDARAN,2018,0.407,7.98,18.575,64.39,7.45
KOTA BOGOR,2018,0.407,7.98,18.575,80.17,7.45
KOTA BOGOR,2018,0.407,7.98,18.575,72.89,7.45
KOTA SUKABUMI,2018,0.407,7.98,18.575,78.65,7.45
KOTA SUKABUMI,2018,0.407,7.98,18.575,71.63,7.45
KOTA BANDUNG,2018,0.407,7.98,18.575,84.32,7.45
KOTA BANDUNG,2018,0.407,7.98,18.575,80.2,7.45
KOTA CIREBON,2018,0.407,7.98,18.575,77.95,7.45
KOTA CIREBON,2018,0.407,7.98,18.575,73.23,7.45
KOTA BEKASI,2018,0.407,7.98,18.575,85.56,7.45
KOTA BEKASI,2018,0.407,7.98,18.575,79.79,7.45
KOTA DEPOK,2018,0.407,7.98,18.575,84.53,7.45
KOTA DEPOK,2018,0.407,7.98,18.575,78.66,7.45
KOTA CIMAHI,2018,0.407,7.98,18.575,81.5,7.45
KOTA CIMAHI,2018,0.407,7.98,18.575,75.27,7.45
KOTA TASIKMALAYA,2018,0.407,7.98,18.575,75.48,7.45
KOTA TASIKMALAYA,2018,0.407,7.98,18.575,68.74,7.45
KOTA BANJAR,2018,0.407,7.98,18.575,76.12,7.45
KOTA BANJAR,2018,0.407,7.98,18.575,66.31,7.45
KABUPATEN BOGOR,2018,0.405,8.23,18.575,74.53,7.45
KABUPATEN BOGOR,2018,0.405,8.23,18.575,66.37,7.45
KABUPATEN SUKABUMI,2018,0.405,8.23,18.575,71.57,7.45
KABUPATEN SUKABUMI,2018,0.405,8.23,18.575,62.23,7.45
KABUPATEN CIANJUR,2018,0.405,8.23,18.575,69.24,7.45
KABUPATEN CIANJUR,2018,0.405,8.23,18.575,57.97,7.45
KABUPATEN BANDUNG,2018,0.405,8.23,18.575,74.91,7.45
KABUPATEN BANDUNG,2018,0.405,8.23,18.575,70.11,7.45
KABUPATEN GARUT,2018,0.405,8.23,18.575,69.89,7.45
KABUPATEN GARUT,2018,0.405,8.23,18.575,57.6,7.45
KABUPATEN TASIKMALAYA,2018,0.405,8.23,18.575,69.71,7.45
KABUPATEN TASIKMALAYA,2018,0.405,8.23,18.575,59.94,7.45
KABUPATEN CIAMIS,2018,0.405,8.23,18.575,75.43,7.45
KABUPATEN CIAMIS,2018,0.405,8.23,18.575,64.87,7.45
KABUPATEN KUNINGAN,2018,0.405,8.23,18.575,74.0,7.45
KABUPATEN KUNINGAN,2018,0.405,8.23,18.575,64.1,7.45
KABUPATEN CIREBON,2018,0.405,8.23,18.575,72.97,7.45
KABUPATEN CIREBON,2018,0.405,8.23,18.575,60.51,7.45
KABUPATEN MAJALENGKA,2018,0.405,8.23,18.575,71.29,7.45
KABUPATEN MAJALENGKA,2018,0.405,8.23,18.575,61.26,7.45
KABUPATEN SUMEDANG,2018,0.405,8.23,18.575,74.36,7.45
KABUPATEN SUMEDANG,2018,0.405,8.23,18.575,70.55,7.45
KABUPATEN INDRAMAYU,2018,0.405,8.23,18.575,70.65,7.45
KABUPATEN INDRAMAYU,2018,0.405,8.23,18.575,62.15,7.45
KABUPATEN SUBANG,2018,0.405,8.23,18.575,72.11,7.45
KABUPATEN SUBANG,2018,0.405,8.23,18.575,65.31,7.45
KABUPATEN PURWAKARTA,2018,0.405,8.23,18.575,74.65,7.45
KABUPATEN PURWAKARTA,2018,0.405,8.23,18.575,65.09,7.45
KABUPATEN KARAWANG,2018,0.405,8.23,18.575,73.6,7.45
KABUPATEN KARAWANG,2018,0.405,8.23,18.575,66.57,7.45
KABUPATEN BEKASI,2018,0.405,8.23,18.575,78.49,7.45
KABUPATEN BEKASI,2018,0.405,8.23,18.575,69.29,7.45
KABUPATEN BANDUNG BARAT,2018,0.405,8.23,18.575,72.51,7.45
KABUPATEN BANDUNG BARAT,2018,0.405,8.23,18.575,57.41,7.45
KABUPATEN PANGANDARAN,2018,0.405,8.23,18.575,71.8,7.45
KABUPATEN PANGANDARAN,2018,0.405,8.23,18.575,64.39,7.45
KOTA BOGOR,2018,0.405,8.23,18.575,80.17,7.45
KOTA BOGOR,2018,0.405,8.23,18.575,72.89,7.45
KOTA SUKABUMI,2018,0.405,8.23,18.575,78.65,7.45
KOTA SUKABUMI,2018,0.405,8.23,18.575,71.63,7.45
KOTA BANDUNG,2018,0.405,8.23,18.575,84.32,7.45
KOTA BANDUNG,2018,0.405,8.23,18.575,80.2,7.45
KOTA CIREBON,2018,0.405,8.23,18.575,77.95,7.45
KOTA CIREBON,2018,0.405,8.23,18.575,73.23,7.45
KOTA BEKASI,2018,0.405,8.23,18.575,85.56,7.45
KOTA BEKASI,2018,0.405,8.23,18.575,79.79,7.45
KOTA DEPOK,2018,0.405,8.23,18.575,84.53,7.45
KOTA DEPOK,2018,0.405,8.23,18.575,78.66,7.45
KOTA CIMAHI,2018,0.405,8.23,18.575,81.5,7.45
KOTA CIMAHI,2018,0.405,8.23,18.575,75.27,7.45
KOTA TASIKMALAYA,2018,0.405,8.23,18.575,75.48,7.45
KOTA TASIKMALAYA,2018,0.405,8.23,18.575,68.74,7.45
KOTA BANJAR,2018,0.405,8.23,18.575,76.12,7.45
KOTA BANJAR,2018,0.405,8.23,18.575,66.31,7.45
KABUPATEN BOGOR,2018,0.405,7.98,18.575,74.53,7.45
KABUPATEN BOGOR,2018,0.405,7.98,18.575,66.37,7.45
KABUPATEN SUKABUMI,2018,0.405,7.98,18.575,71.57,7.45
KABUPATEN SUKABUMI,2018,0.405,7.98,18.575,62.23,7.45
KABUPATEN CIANJUR,2018,0.405,7.98,18.575,69.24,7.45
KABUPATEN CIANJUR,2018,0.405,7.98,18.575,57.97,7.45
KABUPATEN BANDUNG,2018,0.405,7.98,18.575,74.91,7.45
KABUPATEN BANDUNG,2018,0.405,7.98,18.575,70.11,7.45
KABUPATEN GARUT,2018,0.405,7.98,18.575,69.89,7.45
KABUPATEN GARUT,2018,0.405,7.98,18.575,57.6,7.45
KABUPATEN TASIKMALAYA,2018,0.405,7.98,18.575,69.71,7.45
KABUPATEN TASIKMALAYA,2018,0.405,7.98,18.575,59.94,7.45
KABUPATEN CIAMIS,2018,0.405,7.98,18.575,75.43,7.45
KABUPATEN CIAMIS,2018,0.405,7.98,18.575,64.87,7.45
KABUPATEN KUNINGAN,2018,0.405,7.98,18.575,74.0,7.45
KABUPATEN KUNINGAN,2018,0.405,7.98,18.575,64.1,7.45
KABUPATEN CIREBON,2018,0.405,7.98,18.575,72.97,7.45
KABUPATEN CIREBON,2018,0.405,7.98,18.575,60.51,7.45
KABUPATEN MAJALENGKA,2018,0.405,7.98,18.575,71.29,7.45
KABUPATEN MAJALENGKA,2018,0.405,7.98,18.575,61.26,7.45
KABUPATEN SUMEDANG,2018,0.405,7.98,18.575,74.36,7.45
KABUPATEN SUMEDANG,2018,0.405,7.98,18.575,70.55,7.45
KABUPATEN INDRAMAYU,2018,0.405,7.98,18.575,70.65,7.45
KABUPATEN INDRAMAYU,2018,0.405,7.98,18.575,62.15,7.45
KABUPATEN SUBANG,2018,0.405,7.98,18.575,72.11,7.45
KABUPATEN SUBANG,2018,0.405,7.98,18.575,65.31,7.45
KABUPATEN PURWAKARTA,2018,0.405,7.98,18.575,74.65,7.45
KABUPATEN PURWAKARTA,2018,0.405,7.98,18.575,65.09,7.45
KABUPATEN KARAWANG,2018,0.405,7.98,18.575,73.6,7.45
KABUPATEN KARAWANG,2018,0.405,7.98,18.575,66.57,7.45
KABUPATEN BEKASI,2018,0.405,7.98,18.575,78.49,7.45
KABUPATEN BEKASI,2018,0.405,7.98,18.575,69.29,7.45
KABUPATEN BANDUNG BARAT,2018,0.405,7.98,18.575,72.51,7.45
KABUPATEN BANDUNG BARAT,2018,0.405,7.98,18.575,57.41,7.45
KABUPATEN PANGANDARAN,2018,0.405,7.98,18.575,71.8,7.45
KABUPATEN PANGANDARAN,2018,0.405,7.98,18.575,64.39,7.45
KOTA BOGOR,2018,0.405,7.98,18.575,80.17,7.45
KOTA BOGOR,2018,0.405,7.98,18.575,72.89,7.45
KOTA SUKABUMI,2018,0.405,7.98,18.575,78.65,7.45
KOTA SUKABUMI,2018,0.405,7.98,18.575,71.63,7.45
KOTA BANDUNG,2018,0.405,7.98,18.575,84.32,7.45
KOTA BANDUNG,2018,0.405,7.98,18.575,80.2,7.45
KOTA CIREBON,2018,0.405,7.98,18.575,77.95,7.45
KOTA CIREBON,2018,0.405,7.98,18.575,73.23,7.45
KOTA BEKASI,2018,0.405,7.98,18.575,85.56,7.45
KOTA BEKASI,2018,0.405,7.98,18.575,79.79,7.45
KOTA DEPOK,2018,0.405,7.98,18.575,84.53,7.45
KOTA DEPOK,2018,0.405,7.98,18.575,78.66,7.45
KOTA CIMAHI,2018,0.405,7.98,18.575,81.5,7.45
KOTA CIMAHI,2018,0.405,7.98,18.575,75.27,7.45
KOTA TASIKMALAYA,2018,0.405,7.98,18.575,75.48,7.45
KOTA TASIKMALAYA,2018,0.405,7.98,18.575,68.74,7.45
KOTA BANJAR,2018,0.405,7.98,18.575,76.12,7.45
KOTA BANJAR,2018,0.405,7.98,18.575,66.31,7.45
KABUPATEN BOGOR,2019,0.402,,0.16,75.37,6.91
KABUPATEN BOGOR,2019,0.402,,0.16,67.37,6.91
KABUPATEN SUKABUMI,2019,0.402,,0.16,72.21,6.91
KABUPATEN SUKABUMI,2019,0.402,,0.16,63.13,6.91
KABUPATEN CIANJUR,2019,0.402,,0.16,69.89,6.91
KABUPATEN CIANJUR,2019,0.402,,0.16,58.96,6.91
KABUPATEN BANDUNG,2019,0.402,,0.16,75.32,6.91
KABUPATEN BANDUNG,2019,0.402,,0.16,70.77,6.91
KABUPATEN GARUT,2019,0.402,,0.16,70.73,6.91
KABUPATEN GARUT,2019,0.402,,0.16,58.38,6.91
KABUPATEN TASIKMALAYA,2019,0.402,,0.16,70.4,6.91
KABUPATEN TASIKMALAYA,2019,0.402,,0.16,60.58,6.91
KABUPATEN CIAMIS,2019,0.402,,0.16,75.96,6.91
KABUPATEN CIAMIS,2019,0.402,,0.16,65.7,6.91
KABUPATEN KUNINGAN,2019,0.402,,0.16,74.53,6.91
KABUPATEN KUNINGAN,2019,0.402,,0.16,64.78,6.91
KABUPATEN CIREBON,2019,0.402,,0.16,73.46,6.91
KABUPATEN CIREBON,2019,0.402,,0.16,61.34,6.91
KABUPATEN MAJALENGKA,2019,0.402,,0.16,72.17,6.91
KABUPATEN MAJALENGKA,2019,0.402,,0.16,61.89,6.91
KABUPATEN SUMEDANG,2019,0.402,,0.16,74.78,6.91
KABUPATEN SUMEDANG,2019,0.402,,0.16,71.05,6.91
KABUPATEN INDRAMAYU,2019,0.402,,0.16,71.17,6.91
KABUPATEN INDRAMAYU,2019,0.402,,0.16,62.88,6.91
KABUPATEN SUBANG,2019,0.402,,0.16,72.5,6.91
KABUPATEN SUBANG,2019,0.402,,0.16,65.67,6.91
KABUPATEN PURWAKARTA,2019,0.402,,0.16,75.64,6.91
KABUPATEN PURWAKARTA,2019,0.402,,0.16,65.64,6.91
KABUPATEN KARAWANG,2019,0.402,,0.16,74.57,6.91
KABUPATEN KARAWANG,2019,0.402,,0.16,67.36,6.91
KABUPATEN BEKASI,2019,0.402,,0.16,78.88,6.91
KABUPATEN BEKASI,2019,0.402,,0.16,69.95,6.91
KABUPATEN BANDUNG BARAT,2019,0.402,,0.16,73.39,6.91
KABUPATEN BANDUNG BARAT,2019,0.402,,0.16,58.19,6.91
KABUPATEN PANGANDARAN,2019,0.402,,0.16,72.47,6.91
KABUPATEN PANGANDARAN,2019,0.402,,0.16,65.24,6.91
KOTA BOGOR,2019,0.402,,0.16,80.65,6.91
KOTA BOGOR,2019,0.402,,0.16,73.48,6.91
KOTA SUKABUMI,2019,0.402,,0.16,79.36,6.91
KOTA SUKABUMI,2019,0.402,,0.16,72.57,6.91
KOTA BANDUNG,2019,0.402,,0.16,85.01,6.91
KOTA BANDUNG,2019,0.402,,0.16,80.61,6.91
KOTA CIREBON,2019,0.402,,0.16,78.24,6.91
KOTA CIREBON,2019,0.402,,0.16,73.82,6.91
KOTA BEKASI,2019,0.402,,0.16,86.13,6.91
KOTA BEKASI,2019,0.402,,0.16,80.12,6.91
KOTA DEPOK,2019,0.402,,0.16,85.18,6.91
KOTA DEPOK,2019,0.402,,0.16,79.03,6.91
KOTA CIMAHI,2019,0.402,,0.16,82.09,6.91
KOTA CIMAHI,2019,0.402,,0.16,75.69,6.91
KOTA TASIKMALAYA,2019,0.402,,0.16,76.14,6.91
KOTA TASIKMALAYA,2019,0.402,,0.16,69.65,6.91
KOTA BANJAR,2019,0.402,,0.16,76.64,6.91
KOTA BANJAR,2019,0.402,,0.16,66.77,6.91
KABUPATEN BOGOR,2019,0.402,7.83,0.16,75.37,6.91
KABUPATEN BOGOR,2019,0.402,7.83,0.16,67.37,6.91
KABUPATEN SUKABUMI,2019,0.402,7.83,0.16,72.21,6.91
KABUPATEN SUKABUMI,2019,0.402,7.83,0.16,63.13,6.91
KABUPATEN CIANJUR,2019,0.402,7.83,0.16,69.89,6.91
KABUPATEN CIANJUR,2019,0.402,7.83,0.16,58.96,6.91
KABUPATEN BANDUNG,2019,0.402,7.83,0.16,75.32,6.91
KABUPATEN BANDUNG,2019,0.402,7.83,0.16,70.77,6.91
KABUPATEN GARUT,2019,0.402,7.83,0.16,70.73,6.91
KABUPATEN GARUT,2019,0.402,7.83,0.16,58.38,6.91
KABUPATEN TASIKMALAYA,2019,0.402,7.83,0.16,70.4,6.91
KABUPATEN TASIKMALAYA,2019,0.402,7.83,0.16,60.58,6.91
KABUPATEN CIAMIS,2019,0.402,7.83,0.16,75.96,6.91
KABUPATEN CIAMIS,2019,0.402,7.83,0.16,65.7,6.91
KABUPATEN KUNINGAN,2019,0.402,7.83,0.16,74.53,6.91
KABUPATEN KUNINGAN,2019,0.402,7.83,0.16,64.78,6.91
KABUPATEN CIREBON,2019,0.402,7.83,0.16,73.46,6.91
KABUPATEN CIREBON,2019,0.402,7.83,0.16,61.34,6.91
KABUPATEN MAJALENGKA,2019,0.402,7.83,0.16,72.17,6.91
KABUPATEN MAJALENGKA,2019,0.402,7.83,0.16,61.89,6.91
KABUPATEN SUMEDANG,2019,0.402,7.83,0.16,74.78,6.91
KABUPATEN SUMEDANG,2019,0.402,7.83,0.16,71.05,6.91
KABUPATEN INDRAMAYU,2019,0.402,7.83,0.16,71.17,6.91
KABUPATEN INDRAMAYU,2019,0.402,7.83,0.16,62.88,6.91
KABUPATEN SUBANG,2019,0.402,7.83,0.16,72.5,6.91
KABUPATEN SUBANG,2019,0.402,7.83,0.16,65.67,6.91
KABUPATEN PURWAKARTA,2019,0.402,7.83,0.16,75.64,6.91
KABUPATEN PURWAKARTA,2019,0.402,7.83,0.16,65.64,6.91
KABUPATEN KARAWANG,2019,0.402,7.83,0.16,74.57,6.91
KABUPATEN KARAWANG,2019,0.402,7.83,0.16,67.36,6.91
KABUPATEN BEKASI,2019,0.402,7.83,0.16,78.88,6.91
KABUPATEN BEKASI,2019,0.402,7.83,0.16,69.95,6.91
KABUPATEN BANDUNG BARAT,2019,0.402,7.83,0.16,73.39,6.91
KABUPATEN BANDUNG BARAT,2019,0.402,7.83,0.16,58.19,6.91
KABUPATEN PANGANDARAN,2019,0.402,7.83,0.16,72.47,6.91
KABUPATEN PANGANDARAN,2019,0.402,7.83,0.16,65.24,6.91
KOTA BOGOR,2019,0.402,7.83,0.16,80.65,6.91
KOTA BOGOR,2019,0.402,7.83,0.16,73.48,6.91
KOTA SUKABUMI,2019,0.402,7.83,0.16,79.36,6.91
KOTA SUKABUMI,2019,0.402,7.83,0.16,72.57,6.91
KOTA BANDUNG,2019,0.402,7.83,0.16,85.01,6.91
KOTA BANDUNG,2019,0.402,7.83,0.16,80.61,6.91
KOTA CIREBON,2019,0.402,7.83,0.16,78.24,6.91
KOTA CIREBON,2019,0.402,7.83,0.16,73.82,6.91
KOTA BEKASI,2019,0.402,7.83,0.16,86.13,6.91
KOTA BEKASI,2019,0.402,7.83,0.16,80.12,6.91
KOTA DEPOK,2019,0.402,7.83,0.16,85.18,6.91
KOTA DEPOK,2019,0.402,7.83,0.16,79.03,6.91
KOTA CIMAHI,2019,0.402,7.83,0.16,82.09,6.91
KOTA CIMAHI,2019,0.402,7.83,0.16,75.69,6.91
KOTA TASIKMALAYA,2019,0.402,7.83,0.16,76.14,6.91
KOTA TASIKMALAYA,2019,0.402,7.83,0.16,69.65,6.91
KOTA BANJAR,2019,0.402,7.83,0.16,76.64,6.91
KOTA BANJAR,2019,0.402,7.83,0.16,66.77,6.91
KABUPATEN BOGOR,2019,0.398,,0.16,75.37,6.91
KABUPATEN BOGOR,2019,0.398,,0.16,67.37,6.91
KABUPATEN SUKABUMI,2019,0.398,,0.16,72.21,6.91
KABUPATEN SUKABUMI,2019,0.398,,0.16,63.13,6.91
KABUPATEN CIANJUR,2019,0.398,,0.16,69.89,6.91
KABUPATEN CIANJUR,2019,0.398,,0.16,58.96,6.91
KABUPATEN BANDUNG,2019,0.398,,0.16,75.32,6.91
KABUPATEN BANDUNG,2019,0.398,,0.16,70.77,6.91
KABUPATEN GARUT,2019,0.398,,0.16,70.73,6.91
KABUPATEN GARUT,2019,0.398,,0.16,58.38,6.91
KABUPATEN TASIKMALAYA,2019,0.398,,0.16,70.4,6.91
KABUPATEN TASIKMALAYA,2019,0.398,,0.16,60.58,6.91
KABUPATEN CIAMIS,2019,0.398,,0.16,75.96,6.91
KABUPATEN CIAMIS,2019,0.398,,0.16,65.7,6.91
KABUPATEN KUNINGAN,2019,0.398,,0.16,74.53,6.91
KABUPATEN KUNINGAN,2019,0.398,,0.16,64.78,6.91
KABUPATEN CIREBON,2019,0.398,,0.16,73.46,6.91
KABUPATEN CIREBON,2019,0.398,,0.16,61.34,6.91
KABUPATEN MAJALENGKA,2019,0.398,,0.16,72.17,6.91
KABUPATEN MAJALENGKA,2019,0.398,,0.16,61.89,6.91
KABUPATEN SUMEDANG,2019,0.398,,0.16,74.78,6.91
KABUPATEN SUMEDANG,2019,0.398,,0.16,71.05,6.91
KABUPATEN INDRAMAYU,2019,0.398,,0.16,71.17,6.91
KABUPATEN INDRAMAYU,2019,0.398,,0.16,62.88,6.91
KABUPATEN SUBANG,2019,0.398,,0.16,72.5,6.91
KABUPATEN SUBANG,2019,0.398,,0.16,65.67,6.91
KABUPATEN PURWAKARTA,2019,0.398,,0.16,75.64,6.91
KABUPATEN PURWAKARTA,2019,0.398,,0.16,65.64,6.91
KABUPATEN KARAWANG,2019,0.398,,0.16,74.57,6.91
KABUPATEN KARAWANG,2019,0.398,,0.16,67.36,6.91
KABUPATEN BEKASI,2019,0.398,,0.16,78.88,6.91
KABUPATEN BEKASI,2019,0.398,,0.16,69.95,6.91
KABUPATEN BANDUNG BARAT,2019,0.398,,0.16,73.39,6.91
KABUPATEN BANDUNG BARAT,2019,0.398,,0.16,58.19,6.91
KABUPATEN PANGANDARAN,2019,0.398,,0.16,72.47,6.91
KABUPATEN PANGANDARAN,2019,0.398,,0.16,65.24,6.91
KOTA BOGOR,2019,0.398,,0.16,80.65,6.91
KOTA BOGOR,2019,0.398,,0.16,73.48,6.91
KOTA SUKABUMI,2019,0.398,,0.16,79.36,6.91
KOTA SUKABUMI,2019,0.398,,0.16,72.57,6.91
KOTA BANDUNG,2019,0.398,,0.16,85.01,6.91
KOTA BANDUNG,2019,0.398,,0.16,80.61,6.91
KOTA CIREBON,2019,0.398,,0.16,78.24,6.91
KOTA CIREBON,2019,0.398,,0.16,73.82,6.91
KOTA BEKASI,2019,0.398,,0.16,86.13,6.91
KOTA BEKASI,2019,0.398,,0.16,80.12,6.91
KOTA DEPOK,2019,0.398,,0.16,85.18,6.91
KOTA DEPOK,2019,0.398,,0.16,79.03,6.91
KOTA CIMAHI,2019,0.398,,0.16,82.09,6.91
KOTA CIMAHI,2019,0.398,,0.16,75.69,6.91
KOTA TASIKMALAYA,2019,0.398,,0.16,76.14,6.91
KOTA TASIKMALAYA,2019,0.398,,0.16,69.65,6.91
KOTA BANJAR,2019,0.398,,0.16,76.64,6.91
KOTA BANJAR,2019,0.398,,0.16,66.77,6.91
KABUPATEN BOGOR,2019,0.398,7.83,0.16,75.37,6.91
KABUPATEN BOGOR,2019,0.398,7.83,0.16,67.37,6.91
KABUPATEN SUKABUMI,2019,0.398,7.83,0.16,72.21,6.91
KABUPATEN SUKABUMI,2019,0.398,7.83,0.16,63.13,6.91
KABUPATEN CIANJUR,2019,0.398,7.83,0.16,69.89,6.91
KABUPATEN CIANJUR,2019,0.398,7.83,0.16,58.96,6.91
KABUPATEN BANDUNG,2019,0.398,7.83,0.16,75.32,6.91
KABUPATEN BANDUNG,2019,0.398,7.83,0.16,70.77,6.91
KABUPATEN GARUT,2019,0.398,7.83,0.16,70.73,6.91
KABUPATEN GARUT,2019,0.398,7.83,0.16,58.38,6.91
